provinsi;tahun;sektor;kontribusi_sektor;
Sumatera Utara;2011;Transportasi;4.4;
Sumatera Utara;2011;Akmamin;2.1;
Sumatera Utara;2011;Informasi dan Komunikasi;2.1;
Sumatera Utara;2011;Jasa Keuangan;3.0;
Sumatera Utara;2011;Real Estat;4.1;
Sumatera Utara;2011;Jasa Perusahaan;0.8;
Sumatera Utara;2011;Adm. Pemerintahan;3.4;
Sumatera Utara;2011;Jasa Pendidikan;1.9;
Sumatera Utara;2011;Jasa Kesehatan;0.8;
Sumatera Utara;2011;Jasa Lainnya;0.5;
Sumatera Utara;2012;Pertanian;24.9;
Sumatera Utara;2012;Pertambangan;1.2;
Sumatera Utara;2012;Industri;20.7;
Sumatera Utara;2012;Pengadaan Listrik;0.2;
Sumatera Utara;2012;Pengadaan Air;0.1;
Sumatera Utara;2012;Konstruksi;12.3;
Sumatera Utara;2012;Perdagangan;17.0;
Sumatera Utara;2012;Transportasi;4.6;
Sumatera Utara;2012;Akmamin;2.2;
Sumatera Utara;2012;Informasi dan Komunikasi;2.1;
Sumatera Utara;2012;Jasa Keuangan;3.2;
Sumatera Utara;2012;Real Estat;3.9;
Sumatera Utara;2012;Jasa Perusahaan;0.9;
Sumatera Utara;2012;Adm. Pemerintahan;3.5;
Sumatera Utara;2012;Jasa Pendidikan;1.9;
Sumatera Utara;2012;Jasa Kesehatan;0.8;
Sumatera Utara;2012;Jasa Lainnya;0.5;
Sumatera Utara;2013;Pertanian;24.5;
Sumatera Utara;2013;Pertambangan;1.4;
Sumatera Utara;2013;Industri;19.9;
Sumatera Utara;2013;Pengadaan Listrik;0.1;
Sumatera Utara;2013;Pengadaan Air;0.1;
Sumatera Utara;2013;Konstruksi;12.8;
Sumatera Utara;2013;Perdagangan;16.7;
Sumatera Utara;2013;Transportasi;4.9;
Sumatera Utara;2013;Akmamin;2.3;
Sumatera Utara;2013;Informasi dan Komunikasi;2.0;
Sumatera Utara;2013;Jasa Keuangan;3.4;
Sumatera Utara;2013;Real Estat;4.3;
Sumatera Utara;2013;Jasa Perusahaan;0.9;
Sumatera Utara;2013;Adm. Pemerintahan;3.5;
Sumatera Utara;2013;Jasa Pendidikan;1.9;
Sumatera Utara;2013;Jasa Kesehatan;0.9;
Sumatera Utara;2013;Jasa Lainnya;0.5;
Sumatera Utara;2014;Pertanian;23.3;
Sumatera Utara;2014;Pertambangan;1.3;
Sumatera Utara;2014;Industri;20.0;
Sumatera Utara;2014;Pengadaan Listrik;0.1;
Sumatera Utara;2014;Pengadaan Air;0.1;
Sumatera Utara;2014;Konstruksi;13.3;
Sumatera Utara;2014;Perdagangan;17.2;
Sumatera Utara;2014;Transportasi;5.0;
Sumatera Utara;2014;Akmamin;2.4;
Sumatera Utara;2014;Informasi dan Komunikasi;2.0;
Sumatera Utara;2014;Jasa Keuangan;3.3;
Sumatera Utara;2014;Real Estat;4.4;
Sumatera Utara;2014;Jasa Perusahaan;0.9;
Sumatera Utara;2014;Adm. Pemerintahan;3.6;
Sumatera Utara;2014;Jasa Pendidikan;1.9;
Sumatera Utara;2014;Jasa Kesehatan;0.9;
Sumatera Utara;2014;Jasa Lainnya;0.5;
Sumatera Utara;2015;Pertanian;21.9;
Sumatera Utara;2015;Pertambangan;1.3;
Sumatera Utara;2015;Industri;20.2;
Sumatera Utara;2015;Pengadaan Listrik;0.1;
Sumatera Utara;2015;Pengadaan Air;0.1;
Sumatera Utara;2015;Konstruksi;13.6;
Sumatera Utara;2015;Perdagangan;17.5;
Sumatera Utara;2015;Transportasi;5.0;
Sumatera Utara;2015;Akmamin;2.4;
Sumatera Utara;2015;Informasi dan Komunikasi;1.9;
Sumatera Utara;2015;Jasa Keuangan;3.3;
Sumatera Utara;2015;Real Estat;4.5;
Sumatera Utara;2015;Jasa Perusahaan;1.0;
